item,intercepto,coeficiente,prediccion
Leche,10328.187500000002,26455.145833333314,36783.333
Huevos,10328.187500000002,3771.8125000000005,14100.0
Arveja,10328.187500000002,-7928.187500000001,2400.0
Mantequilla,10328.187500000002,-1828.187499999998,8500.0
Panela,10328.187500000002,-4650.187500000002,5678.0
Azucar,10328.187500000002,1671.8125000000016,12000.0
Pasta Seco,10328.187500000002,-8128.187500000001,2200.0
Harina de Trigo,10328.187500000002,-6128.187499999996,4200.0
Harina de Arepas,10328.187500000002,-6728.187500000001,3600.0
Aceite,10328.187500000002,23821.8125,34150.0
Condimentos,10328.187500000002,-6153.1875,4175.0
Jabon en Polvo (Ropa),10328.187500000002,39171.812499999985,49500.0
Papel Higienico,10328.187500000002,6171.812500000003,16500.0
